Subject Number,Country,Site,Date,Time,Civilian,Date of Birth,Age (Years),Birth State,Occupation,Education,Number of Children,Fitness,Car Make,Car Year,Car Model,Gender,Race,Reported Height (cm),Reported Height (in),Reported Weight (kg),Reported Weight (lbs),Subgroup Number,Marital Status,Family Income IT,Shoe Size IT,Jacket Size IT,Pants Size Waist IT,Pants Size Waist,Pants Size Inseam IT,Pants Size Inseam,Blouse Size,Pants Size Woman IT,Bra Size
4000,Italy,Genoa1 IT,19/03/2001,09:18:45,Yes,04/10/1970,30.5,Liguria,Degreed Engineer,Bachelors,1,0-1,Other,1998,Station Wagon,Male,Italy/Italian,172.00,67.72,72.00,158.73,0,Married,60MLira-79.9MLira,41.0,48,Don't Know,Don't Know,Don't Know,Don't Know,,,
4001,Italy,Genoa1 IT,19/03/2001,10:24:28,Yes,18/11/1970,30.3,Liguria,Degreed Engineer,Bachelors,0,0-1,Lancia,1991,Economy,Male,Italy/Italian,175.00,68.90,72.00,158.73,0,Single,30MLira-44.9MLira,42.0,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,,
4002,Italy,Genoa1 IT,22/03/2001,04:13:05,Yes,23/12/1979,21.2,Liguria,Student,Some College,0,2-3,Lancia,1995,Economy,Female,Italy/Italian,176.00,69.29,70.00,154.32,0,Single,Don't Know,40.0,,,,,,Lg,46,36c
4003,Italy,Genoa1 IT,22/03/2001,04:24:36,Yes,29/04/1943,57.9,Lombardia,Other Specialty Occupation,Some College,2,6-10,Lexus,1995,Luxury,Female,Italy/Italian,166.00,65.35,60.00,132.28,0,Married,Over 150MLira,38.0,,,,,,Med,44,34c
4004,Italy,Genoa1 IT,22/03/2001,06:07:34,Yes,28/02/1983,18.1,Calabria,Student,High School,0,More than 10,No Response,,No Response,Male,Italy/Italian,179.00,70.47,67.00,147.71,0,Single,Don't Know,41.0,48,90,35.4,76,29.9,,,
4005,Italy,Genoa1 IT,22/03/2001,09:13:26,Yes,01/03/1983,18.1,Liguria,Student,Middle School,0,2-3,Don't Know,,Don't Know,Female,Italy/Italian,170.00,66.93,55.00,121.25,0,Single,Don't Know,40.0,,,,,,Sm,42,30 or Smaller
4006,Italy,Genoa1 IT,23/03/2001,08:21:09,Yes,04/04/1975,26.0,Lazio,Administrative Support,Technical Training,0,0-1,Don't Know,,Don't Know,Female,Italy/Italian,165.00,64.96,51.00,112.44,0,Single,No Response,37.5,,,,,,Sm,40,32b
4007,Italy,Genoa1 IT,26/03/2001,04:22:26,Yes,12/03/1963,38.0,Liguria,Sales/Marketing,Masters,0,2-3,Mercedes-Benz,1998,Intermediate,Male,Italy/Italian,178.00,70.08,76.00,167.55,0,Married,No Response,41.5,52,Don't Know,Don't Know,Don't Know,Don't Know,,,
4008,Italy,Genoa1 IT,26/03/2001,04:33:46,Yes,18/02/1960,41.1,Sicilia,Administrative Support,High School,0,2-3,Other,1999,Compact,Female,Italy/Italian,157.00,61.81,52.00,114.64,0,Married,60MLira-79.9MLira,36.0,,,,,,Med,42,34b
4009,Italy,Genoa1 IT,26/03/2001,06:40:15,Yes,05/12/1977,23.3,Liguria,Administrative Support,Technical Training,0,6-10,No Response,,No Response,Female,Italy/Italian,164.00,64.57,55.00,121.25,0,Single,No Response,38.5,, , ,,,Med,42,34b
4010,Italy,Genoa1 IT,27/03/2001,02:26:54,Yes,21/03/1983,18.0,Liguria,Student,Middle School,0,6-10,No Response,,No Response,Female,Italy/Italian,160.00,62.99,51.00,112.44,0,Single,No Response,37.5,,,,,,Sm,40,34a
4011,Italy,Genoa1 IT,27/03/2001,03:29:20,Yes,08/09/1982,18.5,Liguria,Student,Middle School,0,6-10,No Response,,No Response,Male,Italy/Italian,173.00,68.11,71.00,156.53,0,Single,No Response,43.0,48,75 or Smaller,29.5,76,29.9,,,
